순번,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,분기,일반상영관 가격
118,쿵푸팬더3,"여인영,알레산드로 칼로니",씨제이이앤엠(주),2016-01-28,미국,"1,365",31340798156,"3,984,812",8695148256,"1,045,418",애니메이션,전체관람가,1,9500
119,캡틴 아메리카: 윈터 솔져,"조 루소,안소니 루소",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-03-26,미국,"1,106",31710585385,"3,963,220",10405400885,"1,237,982",액션,15세이상관람가,1,9500
120,박수건달,조진규,(주)쇼박스,2013-01-09,한국,599,28343986569,"3,893,216",6808915069,"894,127",코미디,15세이상관람가,1,9500
121,조선명탐정 : 사라진 놉의 딸,김석윤,(주)쇼박스,2015-02-11,한국,811,30456879428,"3,872,015",6908501928,"845,522",사극,12세이상관람가,1,9500
122,역린,이재규,롯데쇼핑㈜롯데엔터테인먼트,2014-04-30,한국,"1,054",29893297890,"3,849,433",8426821290,"1,044,988",사극,15세이상관람가,2,9500
123,매드 맥스: 분노의 도로,조지 밀러,워너브러더스 코리아(주),2015-05-14,미국,799,32906364462,"3,842,441",11443176062,"1,271,954",액션,15세이상관람가,2,9500
124,남한산성,황동혁,씨제이이앤엠(주),2017-10-03,한국,"1,229",31067321992,"3,829,891",7375553392,"889,444",사극,15세이상관람가,4,9500
125,쌍화점,유하,(주)쇼박스,2008-12-30,한국,499,25616489949,"3,779,553",15503994514,"2,175,717",드라마,청소년관람불가,4,7500
126,신기전,김유진,씨제이엔터테인먼트,2008-09-04,한국,585,24314570667,"3,726,134",6189726667,"891,357",사극,15세이상관람가,3,7500
127,미이라,알렉스 커츠먼,유니버설픽쳐스인터내셔널 코리아(유),2017-06-06,미국,"1,257",30504689978,"3,689,325",7851059428,"909,202",액션,15세이상관람가,2,9500
128,분노의 질주: 더 익스트림,F. 게리 그레이,유니버설픽쳐스인터내셔널 코리아(유),2017-04-12,미국,"1,469",29981156348,"3,653,238",7936210998,"932,027",액션,15세이상관람가,2,9500
129,너의 이름은.,신카이 마코토,메가박스중앙(주)플러스엠,2017-01-04,일본,947,29248867156,"3,637,122",9352306256,"1,124,392",애니메이션,12세이상관람가,1,9500
130,인턴,낸시 마이어스,워너브러더스 코리아(주),2015-09-24,미국,496,28518443148,"3,610,642",10024307548,"1,228,273",코미디,12세이상관람가,3,9500
131,귀향,조정래,(주)와우픽쳐스,2016-02-24,한국,876,27245051990,"3,586,523",6310471892,"801,788",드라마,15세이상관람가,1,9500
132,리얼 스틸,숀 레비,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-10-12,미국,603,26566677000,"3,579,666",8578776500,"1,090,591",액션,12세이상관람가,4,8500
133,라라랜드,다미엔 차젤레,판씨네마(주),2016-12-07,미국,727,29815641394,"3,570,069",13052650194,"1,525,685",드라마,12세이상관람가,4,9500
134,신의 한 수,조범구,(주)쇼박스,2014-07-03,한국,794,28777712256,"3,562,123",8104315156,"965,372",범죄,청소년관람불가,3,9500
136,부러진 화살,정지영,(주)넥스트엔터테인먼트월드(NEW),2012-01-18,한국,453,25878110500,"3,450,941",7619815000,"972,059",드라마,15세이상관람가,1,8500
137,끝까지 간다,김성훈,(주)쇼박스,2014-05-29,한국,645,27006007900,"3,450,143",7567987400,"927,324",액션,15세이상관람가,2,9500
138,스파이,이승준,씨제이이앤엠(주),2013-09-05,한국,785,24436429305,"3,423,920",5483475805,"733,029",액션,15세이상관람가,3,9500
139,이끼,강우석,씨제이엔터테인먼트,2010-07-14,한국,736,25856306126,"3,408,144",8251736000,"1,044,532",드라마,청소년관람불가,3,8500
140,포화속으로,이재한,롯데쇼핑㈜롯데엔터테인먼트,2010-06-16,한국,736,24217600897,"3,385,706",6203066000,"822,965",드라마,12세이상관람가,2,8500
142,맨 인 블랙 3,배리 소넨필드,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-05-24,미국,770,27301520070,"3,379,762",9258393070,"1,068,672",액션,12세이상관람가,2,8500
143,어바웃 타임,리차드 커티스,유니버설픽쳐스인터내셔널 코리아(유),2013-12-05,영국,568,24867023000,"3,375,735",10488833000,"1,368,822",멜로/로맨스,15세이상관람가,4,9500
144,슈퍼배드 3,"피에르 꼬팽,카일 발다",유니버설픽쳐스인터내셔널 코리아(유),2017-07-26,미국,"1,057",24216987019,"3,324,861",5558252919,"723,552",애니메이션,전체관람가,3,9500
145,데드풀,팀 밀러,이십세기폭스코리아(주),2016-02-17,미국,"1,036",27595618651,"3,317,196",9150924002,"1,062,535",액션,청소년관람불가,1,9500
146,아이 캔 스피크,김현석,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",2017-09-21,한국,"1,140",25526451186,"3,279,296",6406642486,"796,298",코미디,12세이상관람가,3,9500
147,스타워즈: 깨어난 포스,J.J. 에이브럼스,월트디즈니컴퍼니코리아(주),2015-12-17,미국,940,28353796331,"3,273,879",9631617574,"1,047,074",액션,12세이상관람가,4,9500
148,분노의 질주: 더 세븐,제임스 완,유니버설픽쳐스인터내셔널 코리아(유),2015-04-01,미국,983,26449334694,"3,247,558",7328474894,"864,171",액션,15세이상관람가,2,9500
149,터미네이터 제니시스,앨런 테일러,롯데쇼핑㈜롯데엔터테인먼트,2015-07-02,미국,"1,113",26546725129,"3,239,371",7364611329,"852,065",액션,15세이상관람가,3,9500
150,그래비티,알폰소 쿠아론,워너브러더스 코리아(주),2013-10-17,미국,636,31484135600,"3,227,452",14128973600,"1,311,034",SF,12세이상관람가,4,9500
152,캐리비안의 해적: 낯선 조류,롭 마샬,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-05-19,미국,960,27279967500,"3,130,046",8991119500,"977,452",액션,12세이상관람가,2,8500
153,퀵,조범구,씨제이이앤엠(주),2011-07-20,한국,512,22960890000,"3,125,069",5353417500,"692,405",코미디,15세이상관람가,3,8500
154,감기,김성수,아이러브시네마,2013-08-14,한국,806,21784202000,"3,119,023",4692878000,"638,882",드라마,15세이상관람가,3,9500
155,나우 유 씨 미 2,존 추,롯데쇼핑㈜롯데엔터테인먼트,2016-07-13,미국,"1,200",25116690113,"3,100,113",7162588413,"850,601",범죄,12세이상관람가,3,9500
156,하모니,강대규,씨제이엔터테인먼트,2010-01-28,한국,405,21992266198,"3,068,544",5451128000,"718,993",드라마,12세이상관람가,1,8500
157,거북이 달린다,이연우,(주)쇼박스,2009-06-11,한국,379,20857347292,"3,059,812",6785771000,"942,277",드라마,15세이상관람가,2,8500
159,캐리비안의 해적: 죽은 자는 말이 없다,"요아킴 뢰닝,에스펜 샌버그",월트디즈니컴퍼니코리아 유한책임회사,2017-05-24,미국,"1,357",24975495122,"3,049,894",7206844722,"839,897",액션,12세이상관람가,2,9500
160,스물,이병헌,(주)넥스트엔터테인먼트월드(NEW),2015-03-25,한국,926,23558988686,"3,044,134",5990587486,"740,243",코미디,15세이상관람가,1,9500
161,토르: 다크 월드,앨런 테일러,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-10-30,미국,733,22525808500,"3,039,889",6890911500,"885,699",액션,12세이상관람가,4,9500
163,방자전,김대우,씨제이엔터테인먼트,2010-06-02,한국,512,22853629794,"3,035,116",7700850000,"975,688",사극,청소년관람불가,2,8500
164,마더,봉준호,씨제이엔터테인먼트,2009-05-28,한국,648,20195373838,"3,013,523",7430891000,"1,060,010",드라마,청소년관람불가,2,8500
165,레드: 더 레전드,딘 패리소트,롯데쇼핑㈜롯데엔터테인먼트,2013-07-18,미국,739,21511358970,"3,004,647",6308770970,"841,287",액션,15세이상관람가,3,9500
166,해리 포터와 혼혈 왕자,데이빗 예이츠,워너브러더스 코리아(주),2009-07-15,미국,751,20580402431,"3,002,669",6666092500,"907,125",어드벤처,전체관람가,3,8500
167,오싹한 연애,황인호,씨제이이앤엠(주),2011-12-01,한국,469,21965313000,"3,001,530",6146203500,"797,727",공포(호러),12세이상관람가,4,8500
168,드래곤 길들이기 2,딘 데블로이스,씨제이이앤엠(주),2014-07-23,미국,829,23979935189,"3,000,056",6564340689,"751,931",애니메이션,전체관람가,3,9500
169,형,권수경,씨제이이앤엠(주),2016-11-23,한국,993,23129111893,"2,982,022",5484309343,"675,698",코미디,12세이상관람가,4,9500
171,친구 2,곽경택,롯데쇼핑㈜롯데엔터테인먼트,2013-11-14,한국,968,21804687513,"2,971,475",5171825013,"675,887",액션,청소년관람불가,4,9500
172,26년,조근현,"(주)인벤트스톤,영화사청어람(주)",2012-11-29,한국,604,21241327145,"2,963,449",6121058611,"817,210",액션,15세이상관람가,4,8500
173,고지전,장훈,(주)쇼박스,2011-07-20,한국,585,21968557600,"2,945,137",6379632100,"817,904",드라마,15세이상관람가,3,8500
